,accounts_payable,accounts_receivable,allowable_dsh_percentage,buildings,cash_on_hand_and_in_banks,ccn_facility_type,city,combined_outpatient_inpatient,contract_labor,cost_of_charity_care,cost_of_uncompensated_care,cost_to_charge_ratio,county,deferred_income,depreciation_cost,disproporationate_share,drg_amounts_after_october,drg_amounts_before_october,fiscal_year_begin_date,fiscal_year_end_date,fixed_equipment,fte_employees_on_payroll,general_fund_balance,gross_revenue,health_information_technology,hospital_name,hospital_number_of_beds_for,hospital_total_bed_days,hospital_total_days_title_1,hospital_total_days_title_2,hospital_total_days_v_xviii,hospital_total_discharges_1,hospital_total_discharges_2,hospital_total_discharges_3,inpatient_revenue,inpatient_total_charges,inventory,investments,land,land_improvements,leasehold_improvements,less_allowances_for,less_contractual_allowance,less_total_operating_expense,major_movable_equipment,managed_care_simulated,medicaid_charges,medicare_cbsa_number,minor_equipment_depreciable,mortgage_payable,net_income,net_income_from_service_to,net_patient_revenue,net_revenue_from_medicaid,net_revenue_from_stand_alone,notes_and_loans_payable_short,notes_payable,notes_receivable,number_of_beds,number_of_beds_total_for,number_of_interns_and,other_assets,other_current_assets,other_current_liabilities,other_long_term_liabilities,outlier_payments_for,outpatient_revenue,outpatient_total_charges,overhead_non_salary_costs,payroll_taxes_payable,prepaid_expenses,provider_ccn,provider_type,rural_versus_urban,salaries_wages_and_fees,stand_alone_schip_charges,state_code,street_address,temporary_investments,total_assets,total_bad_debt_expense,total_bed_days_available,total_bed_days_available_1,total_costs,total_current_assets,total_current_liabilities,total_days_title_xix,total_days_title_xix_total,total_days_title_xviii,total_days_title_xviii_total,total_days_v_xviii_xix_unknown,total_days_v_xviii_xix_unknown_1,total_discharges_title_xix,total_discharges_title_xix_1,total_discharges_title_xviii,total_discharges_title_xviii_1,total_discharges_v_xviii,total_discharges_v_xviii_1,total_fixed_assets,total_fund_balances,total_ime_payment,total_income,total_liabilities,total_liabilities_and_fund,total_long_term_liabilities,total_other_assets,total_other_expenses,total_other_income,total_salaries_adjusted,total_salaries_from_worksheet,total_unreimbursed_and,type_of_control,unsecured_loans,wage_related_costs_core,wage_related_costs_for_interns,wage_related_costs_for_part,wage_related_costs_rhc_fqhc,zip_code
0,,,,,,PH,ORANGEBURG,22147704.0,,,-3912103.0,7.49,ROCKLAND,,16268152.0,,,,2014-04-01T00:00:00.000,2015-03-31T00:00:00.000,,1592.0,,,,ROCKLAND P.C.,404.0,135262.0,4013.0,14826.0,135262.0,77.0,75.0,413.0,,1786106.0,,,,,,,,113549859.0,,,,35004.0,,,-113549859.0,-113549859.0,,,,,,,404.0,404.0,1.0,,,,,,,20361598.0,20461495.0,,,334015,2,U,,,NY,140 OLD ORANGEBURG ROAD,,,,135262.0,135262.0,165987411.0,,,14826.0,14826.0,4013.0,4013.0,135262.0,135262.0,75.0,75.0,77.0,77.0,413.0,413.0,,,,-113549859.0,,,,,,,93088364.0,93088364.0,-3912103.0,10,,49192404.0,,,,10962-1196
1,,,,,,PH,ROCHESTER,1939591.0,,,-6429628.0,31.21,MONROE,,2127117.0,,,,2014-04-01T00:00:00.000,2015-03-31T00:00:00.000,,620.0,,,,ROCHESTER P.C.,185.0,62049.0,1890.0,5718.0,62049.0,34.0,26.0,251.0,,338115.0,,,,,,,,40454985.0,,,,40380.0,,,-40454985.0,-40454985.0,,,,,,,185.0,185.0,3.0,,,,,,,1601476.0,6012039.0,,,334020,2,U,,,NY,1111 ELMWOOD AVE.,,,,62049.0,62049.0,60525172.0,,,5718.0,5718.0,1890.0,1890.0,62049.0,62049.0,26.0,26.0,34.0,34.0,251.0,251.0,,,,-40454985.0,,,,,,,34442946.0,34442946.0,-6429628.0,10,,18333880.0,,,,14620-3965
2,,,,,,PH,UTICA,6125975.0,,,,4.86,ONEIDA,,2442230.0,,,,2014-04-01T00:00:00.000,2015-03-31T00:00:00.000,,420.0,,,,MOHAWK VALLEY P.C.,25.0,8218.0,,7034.0,8218.0,,438.0,455.0,,127802.0,,,,,,,,22960387.0,,,,46540.0,,,-22960387.0,-22960387.0,,,,,,,25.0,25.0,,,,,,,,5998173.0,3586696.0,,,334021,2,U,,,NY,1400 NOYES ST.,,,,8218.0,8218.0,29783192.0,,,7034.0,7034.0,,,8218.0,8218.0,438.0,438.0,,,455.0,455.0,,,,-22960387.0,,,,,,,19373691.0,19373691.0,,10,,10361050.0,,,,13502-3803
3,,,,,,PH,DIX HILLS,,,,,,,,,,,,2014-07-18T00:00:00.000,2015-03-31T00:00:00.000,,,,,,SAGAMORE CHILDRENS PSYCH CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334064,2,R,,,NY,197 HALF HOLLOW ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,11746-5861
4,,,,,,STH,ROCHESTER,,,,,,,,,,,,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,,,,,,MONROE COMMUNITY HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330403,2,R,,,NY,435E HENRIETTA ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,14620-4629
5,4645935.0,13690343.0,0.044,62512010.0,1948996.0,STH,ALBANY,285847044.0,1199325.0,201240.0,3123993.0,0.29,ALBANY,,5090946.0,87836.0,,8003264.0,2014-07-01T00:00:00.000,2015-06-30T00:00:00.000,4028074.0,620.0,45881991.0,287500692.0,,ALBANY MEMORIAL HOSPITAL,57.0,20805.0,5155.0,407.0,14562.0,1153.0,99.0,3101.0,63287504.0,62801245.0,1599284.0,13451828.0,510116.0,1172862.0,,-4771283.0,197435453.0,88947601.0,61545685.0,,47687910.0,10580.0,,,4031393.0,1117638.0,90065239.0,8849186.0,105008.0,1169935.0,-6160.0,,73.0,73.0,,2046944.0,,2378668.0,1774385.0,107996.0,224213188.0,223045799.0,49794477.0,,1022807.0,330003,4,U,4605260.0,568278.0,NY,600 NORTHERN BLVD,6854463.0,62309915.0,9769210.0,26645.0,26645.0,83385847.0,20676915.0,12799798.0,425.0,425.0,5570.0,5570.0,15215.0,15215.0,99.0,99.0,1153.0,1153.0,3101.0,3101.0,26134228.0,47741892.0,,4031393.0,14568023.0,62309915.0,1768225.0,15498772.0,,2913755.0,37781400.0,39449603.0,6754388.0,2,,7365289.0,,,,12204
6,12236815.0,16009950.0,0.072,62615788.0,11752796.0,STH,KINGSTON,336760704.0,5297505.0,2502719.0,5132214.0,0.27,ULSTER,560008.0,5911062.0,439562.0,5996087.0,18356392.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,734300.0,843.0,26105342.0,336760704.0,,THE KINGSTON HOSPITAL,129.0,46005.0,19132.0,1511.0,33286.0,3690.0,297.0,7471.0,208197373.0,208197373.0,1236911.0,1108362.0,1389152.0,2241736.0,2300258.0,-5637618.0,238296930.0,101553042.0,63738495.0,5644231.0,63772960.0,28740.0,,1149430.0,2629498.0,-3089268.0,98463774.0,14458648.0,,3542411.0,7429573.0,,149.0,149.0,19.0,14984996.0,2010556.0,2596205.0,15886866.0,192574.0,128563331.0,128563331.0,58431761.0,,573206.0,330004,4,U,3488986.0,,NY,396 BROADWAY,,74085714.0,7689449.0,53305.0,53305.0,90764599.0,26305143.0,22424425.0,1805.0,1805.0,20236.0,20236.0,36461.0,36461.0,297.0,297.0,3690.0,3690.0,7471.0,7471.0,31687213.0,27195420.0,1913880.0,2629498.0,46890294.0,74085714.0,24465869.0,16093358.0,,5718766.0,43121281.0,43121281.0,5132214.0,2,,12293954.0,65553.0,,,12401
7,87463000.0,136503000.0,0.19,530049000.0,74276000.0,STH,BUFFALO,2515579145.0,25726286.0,2805639.0,13576494.0,0.37,ERIE,,63557402.0,4073125.0,21991662.0,63713217.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,315374000.0,6847.0,96797000.0,2585390268.0,,KALEIDA HEALTH,736.0,262960.0,43847.0,17258.0,189875.0,8942.0,1856.0,48060.0,1649093290.0,1596609960.0,22794000.0,,,21808000.0,,,1482681427.0,1124743801.0,581036000.0,109038170.0,593660924.0,15380.0,,283426000.0,17802000.0,-22034960.0,1102708841.0,181572223.0,4402353.0,20158000.0,,,940.0,1068.0,385.0,426785000.0,,8505000.0,466927000.0,6386840.0,936296978.0,918969185.0,658095141.0,,13641000.0,330005,2,U,45626000.0,15926351.0,NY,100 HIGH STREET,36331000.0,1169457000.0,17524495.0,337420.0,414140.0,940242825.0,316545000.0,185103000.0,17258.0,35247.0,55428.0,60538.0,256486.0,295355.0,1856.0,1872.0,8942.0,9142.0,48060.0,48682.0,426127000.0,234001000.0,38915503.0,13605143.0,935456000.0,1169457000.0,750353000.0,426785000.0,-4196857.0,35640103.0,466648660.0,466648660.0,45655651.0,2,,150972632.0,,750376.0,,14203
8,21136627.0,32115049.0,0.464,105905630.0,9586889.0,STH,YONKERS,313631201.0,,7810988.0,13638468.0,0.65,WESTCHESTER,1523989.0,14219249.0,1538202.0,3338536.0,9936126.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,3397322.0,1400.0,-2674410.0,319158118.0,,ST. JOSEPHS MEDICAL CENTER,125.0,45625.0,11246.0,10082.0,35711.0,1506.0,913.0,5291.0,180300773.0,180300773.0,1132822.0,,13063245.0,1990480.0,,-7932970.0,114792932.0,232211667.0,74779443.0,4965720.0,141595363.0,35644.0,,,-1358410.0,-27846481.0,204365186.0,111403442.0,,6852957.0,,,131.0,482.0,35.0,12291477.0,1725000.0,,59586204.0,141370.0,138857345.0,133330428.0,118738401.0,1004807.0,1295515.0,330006,2,U,14669799.0,690131.0,NY,127 SOUTH BROADWAY,,113028229.0,8332970.0,47815.0,175930.0,203614146.0,41561926.0,53701421.0,10223.0,114864.0,11564.0,34014.0,36439.0,195384.0,913.0,2036.0,1506.0,2145.0,5291.0,8604.0,59174826.0,-259396.0,1833341.0,-1739583.0,113287625.0,113028229.0,59586204.0,12291477.0,-381173.0,26106898.0,113473266.0,113473266.0,14086511.0,1,,34198769.0,784922.0,272819.0,,10701
9,2196818.0,5430310.0,0.053,53338891.0,862985.0,STH,WARSAW,57718299.0,115284.0,687093.0,1834240.0,0.78,WYOMING COUNTY,,2486519.0,40462.0,694058.0,2377034.0,2014-01-01T00:00:00.000,2014-12-31T00:00:00.000,,331.0,13865640.0,62237752.0,,WYOMING COUNTY COMMUNITY HOSPITAL,45.0,17223.0,2428.0,457.0,6460.0,506.0,113.0,1577.0,36159820.0,35632133.0,692091.0,,13700.0,3638809.0,,,23302324.0,50436812.0,22021719.0,,5593693.0,99933.0,,,-2122961.0,-11501384.0,38935428.0,2582993.0,,,,,50.0,200.0,,935462.0,,9628640.0,21759444.0,25241.0,26077932.0,22086166.0,29860007.0,2009593.0,2883900.0,330008,2,R,,,NY,400 NORTH MAIN STREET,,49460135.0,1426681.0,19090.0,73840.0,44829421.0,9869286.0,13835051.0,544.0,36756.0,2773.0,6546.0,7403.0,57555.0,113.0,281.0,506.0,609.0,1577.0,2100.0,38655387.0,13865640.0,,-5533376.0,35594495.0,49460135.0,21759444.0,935462.0,-3410415.0,5968008.0,20576805.0,20576805.0,2246897.0,9,,7115033.0,,,,14569
