,address1,city,cnty_cd,cooperator_address1,cooperator_address2,cooperator_city,cooperator_name,cooperator_state,cooperator_zip,county,description,fac_desc_short,fac_fax,fac_id,fac_opn_dat,fac_phone,fac_zip,facility_location,facility_name,latitude,longitude,main_site_facid,main_site_name,opcert_num,operator_address1,operator_address2,operator_city,operator_name,operator_state,operator_zip,ownership_type,region_office,ro_id,state
0,315 South Manning Blvd,Albany,1,315 South Manning Boulevard,,Albany,St. Peter's Health Partners,New York,12208.0,Albany,Hospital,HOSP,,5,1901-01-01T00:00:00.000,5184541550.0,12208,"{'type': 'Point', 'coordinates': [-73.803879, 42.657539]}",St Peters Hospital,42.657539,-73.803879,,,0101004H,315 South Manning Blvd,,Albany,St Peters Hospital Inc,New York,12208,Not for Profit Corporation,Capital District Regional Office,4,New York
1,100 Park Street,Glens Falls,56,,,,,New York,,Warren,Hospital,HOSP,,1005,1901-01-01T00:00:00.000,5189261000.0,12801,"{'type': 'Point', 'coordinates': [-73.645996, 43.30735]}",Glens Falls Hospital,43.30735,-73.645996,,,5601000H,100 Park Street,,Glens Falls,Glens Falls Hospital Inc,New York,12801,Not for Profit Corporation,Capital District Regional Office,4,New York
2,1425 Portland Avenue,Rochester,27,89 Genesee Street,,Rochester,Rochester Regional Health,New York,14611.0,Monroe,Hospital,HOSP,,411,1901-01-01T00:00:00.000,5859224000.0,14621,"{'type': 'Point', 'coordinates': [-77.584503, 43.192619]}",Rochester General Hospital,43.192619,-77.584503,,,2701003H,905 Culver Road,,Rochester,Rochester General Hospital Inc,New York,14609,Not for Profit Corporation,Western Regional Office - Rochester,2,New York
3,10-42 Mitchell Avenue,Binghamton,3,,,,,New York,,Broome,Hospital,HOSP,,42,1980-02-01T00:00:00.000,6077622200.0,13903,"{'type': 'Point', 'coordinates': [-75.91423, 42.088062]}",United Health Services Hospitals Inc. - Binghamton General Hospital,42.088062,-75.91423,,,0303001H,Po Box 54o,,Johnson City,United Health Services Hospitals Inc,New York,13790,Not for Profit Corporation,Central New York Regional Office,3,New York
4,189 E Main Street,Westfield,6,232 West 25th Street,,Erie,St. Vincent's Health System,New York,16544.0,Chautauqua,Hospital,HOSP,,111,1901-01-01T00:00:00.000,7163264921.0,14787,"{'type': 'Point', 'coordinates': [-79.569412, 42.327965]}",Westfield Memorial Hospital Inc,42.327965,-79.569412,,,0632000H,189 East Main Street,,Westfield,Westfield Memorial Hospital Inc,New York,14787,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
5,43 Pearl Street West,Sidney,12,1 Atwell Road,,Cooperstown,Bassett Healthcare Network,New York,13326.0,Delaware,Hospital,HOSP,,8554,2008-01-11T00:00:00.000,6075612021.0,13838,"{'type': 'Point', 'coordinates': [-75.39492, 42.30471]}",Aurelia Osborn Fox Memorial Hospital - Tri Town Campus,42.30471,-75.39492,739.0,Aurelia Osborn Fox Memorial Hospital,3801000H,One Norton Avenue,,Oneonta,Aurelia Osborn Fox Memorial Hospital Society Inc,New York,13820,Not for Profit Corporation,Capital District Regional Office,4,New York
6,50 Leroy St,Potsdam,44,50 Leroy Street,,Potsdam,"St. Lawrence Health System, Inc.",New York,13676.0,Saint Lawrence,Hospital,HOSP,,815,1901-01-01T00:00:00.000,3152653300.0,13676,"{'type': 'Point', 'coordinates': [-74.981529, 44.676151]}",Canton-Potsdam Hospital,44.676151,-74.981529,,,4429000H,50 Leroy St,,Potsdam,Canton-Potsdam Hospital,New York,13676,Not for Profit Corporation,Central New York Regional Office,3,New York
7,25-10 30th Avenue,Long Island City,7096,One Gustave L. Levy Place,,New York,"Mount Sinai Hospitals Group, Inc.",New York,10029.0,Queens,Hospital,HOSP,,1639,1979-08-01T00:00:00.000,7189321000.0,11102,"{'type': 'Point', 'coordinates': [-73.924461, 40.768269]}",Mount Sinai Hospital - Mount Sinai Hospital of Queens,40.768269,-73.924461,1456.0,Mount Sinai Hospital,7002024H,One Gustave L Levy Place,,New York,The Mount Sinai Hospital,New York,10029,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
8,12 North 7th Avenue,Mount Vernon,59,111 East 210th Street,,Bronx,"Montefiore Health System, Inc",New York,10467.0,Westchester,Hospital,HOSP,9146642113.0,1061,1901-01-01T00:00:00.000,9143616100.0,10550,"{'type': 'Point', 'coordinates': [-73.840004, 40.912476]}",Montefiore Mount Vernon Hospital,40.912476,-73.840004,,,5903001H,12 North 7th Avenue,,Mount Vernon,"Montefiore Mount Vernon Hospital, Inc.",New York,10550,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
9,1000 Tenth Avenue,New York,7093,One Gustave L. Levy Place,,New York,"Mount Sinai Hospitals Group, Inc.",New York,10029.0,New York,Hospital,HOSP,,1466,1901-01-01T00:00:00.000,2125237225.0,10019,"{'type': 'Point', 'coordinates': [-73.987785, 40.770092]}",Mount Sinai West,40.770092,-73.987785,,,7002032H,Amsterdam Avenue At 114th Street,,New York,St Lukes Roosevelt Hospital Center Inc,New York,10025,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
10,111 East 210th Street,Bronx,7094,111 East 210th Street,,Bronx,"Montefiore Health System, Inc",New York,10467.0,Bronx,Hospital,HOSP,,1169,1901-01-01T00:00:00.000,7189202001.0,10467,"{'type': 'Point', 'coordinates': [-73.880562, 40.879951]}",Montefiore Medical Center - Henry & Lucy Moses Div,40.879951,-73.880562,,,7000006H,111 East 210th Street,,Bronx,Montefiore Medical Center,New York,10467,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
11,2201 Hempstead Turnpike,East Meadow,29,,,,,New York,,Nassau,Hospital,HOSP,,528,1901-01-01T00:00:00.000,5165720123.0,11554,"{'type': 'Point', 'coordinates': [-73.554321, 40.725353]}",Nassau University Medical Center,40.725353,-73.554321,,,2950002H,240 Old Country Road,,Mineola,Nassau Health Care Corporation,New York,11501,County,Metropolitan Area Regional Office - Long Island,7,New York
12,321 Genesee Street,Oneida,26,,,,,New York,,Madison,Hospital,HOSP,,397,1979-02-01T00:00:00.000,3153636000.0,13421,"{'type': 'Point', 'coordinates': [-75.654449, 43.07869]}",Oneida Healthcare,43.07869,-75.654449,,,2601001H,323 Genesee Street,,Oneida,"Oneida Health Systems, Inc",New York,13421,Not for Profit Corporation,Central New York Regional Office,3,New York
13,2601 Ocean Parkway,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,1294,1901-01-01T00:00:00.000,7186163000.0,11235,"{'type': 'Point', 'coordinates': [-73.965797, 40.58662]}",Coney Island Hospital,40.58662,-73.965797,,,7001009H,125 Worth Street,,New York,New York City Health and Hospital Corporation,New York,10013,Municipality,Metropolitan Area Regional Office - New York City,5,New York
14,51 Glasgow Avenue,Jamestown,6,207 Foote Avenue,,Jamestown,"UPMC Chautauqua Services, Inc.",New York,14701.0,Chautauqua,Hospital,HOSP,7166648336.0,102,1990-08-17T00:00:00.000,7164870141.0,14701,"{'type': 'Point', 'coordinates': [-79.245094, 42.091541]}",UPMC Chautauqua at WCA,42.091541,-79.245094,103.0,UPMC Chautauqua at WCA,0602001H,207 Foote Avenue,,Jamestown,UPMC Chautauqua at WCA,New York,14701,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
15,50 Route 25A,Smithtown,51,1 Huntington Quadrangle,,Melville,St Catherine Siena Med Ctr,New York,11747.0,Suffolk,Hospital,HOSP,,943,1977-07-12T00:00:00.000,6318623107.0,11787,"{'type': 'Point', 'coordinates': [-73.220222, 40.867531]}",St Catherine of Siena Hospital,40.867531,-73.220222,,,5157003H,1 Huntington Quadrangle,,Melville,"Catholic Health System of Long Island, Inc.",New York,11747,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
