,in_nyc,Provider ID,fac_id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
0,FALSE,330013,1,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,5182622400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"43 NEW SCOTLAND AVENUE, MAIL CODE 34 ALBANY, NY (42.653254, -73.77386)"
1,FALSE,330003,4,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713490,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"600 NORTHERN BOULEVARD ALBANY, NY (42.674685, -73.748861)"
2,FALSE,330057,5,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,5185251550,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"315 SOUTH MANNING BOULEVARD ALBANY, NY (42.660176, -73.802382)"
3,FALSE,331301,37,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,5859612000,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"140 WEST MAIN STREET CUBA, NY (42.213341, -78.288139)"
4,FALSE,330096,39,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,WELLSVILLE,NY,14895,ALLEGANY,5855931100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"191 NORTH MAIN STREET WELLSVILLE, NY (42.122878, -77.949784)"
5,FALSE,330394,42,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,6077636000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"10-42 MITCHELL AVENUE BINGHAMTON, NY (42.088097, -75.914166)"
6,FALSE,330011,43,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,6077985111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"169 RIVERSIDE DRIVE BINGHAMTON, NY (42.09264, -75.935558)"
7,FALSE,330103,66,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,CATTARAUGUS,7163732600,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,"515 MAIN STREET OLEAN, NY (42.089448, -78.426977)"
8,FALSE,330235,85,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,3152557011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"17 LANSING STREET AUBURN, NY (42.940761, -76.564607)"
9,FALSE,330229,98,BROOKS MEMORIAL HOSPITAL,529 CENTRAL AVENUE,DUNKIRK,NY,14048,CHAUTAUQUA,7163661111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"529 CENTRAL AVENUE DUNKIRK, NY (42.480106, -79.333617)"
