The Bellevue Hospital Charge Listing Effective 01/01/2019,,
Description,Amount,
BLADDER INSTILLATION OF MEDICATION,401.00 ,
ISOLATION ROOM,"1,244.00 ",
MS 1ST HR OBS ISOLATION,713.00 ,
MS 1ST HR OBS TELEMETRY,809.00 ,
MS ADD HR OBS ISOLATION,21.00 ,
MS ADD OBS TELEMETRY,24.00 ,
MS BLADDER ULTRASOUND SCAN,232.00 ,
MS BLOOD ADMINISTRATION SURG,819.00 ,
MS BLOOD CLOT PATCH,"1,290.00 ",
MS CAPILLARY BLOOD DRAW,16.00 ,
MS CHAIR ALARM PAD,95.00 ,
MS COLLECTION FROM PICC LINE,176.00 ,
MS DECLOTTING VASCULAR DEVICE,448.00 ,
MS DIRECT OBS ISOLOLATION,713.00 ,
MS DIRECT TELEMETRY OBS,809.00 ,
MS DRAW VENOUS IMPLANT DEVCE,176.00 ,
MS FACILITY LEVEL 1,161.00 ,
MS FACILITY LEVEL 2,224.00 ,
MS FACILITY LEVEL 3,249.00 ,
MS FACILITY LEVEL 4,345.00 ,
MS FLU VACCINE ADMINISTRATION,65.00 ,
MS FOLEY CATH,247.00 ,
MS GUIDANCE FOR MIDLINE,641.00 ,
MS GUIDANCE FOR PICC,641.00 ,
MS IMMUNIZATION ADMINISTRATION 1 EA,101.00 ,
MS INCONTINENT PAD 1ST,36.00 ,
MS INCONTINENT PAD ADD,13.00 ,
MS INJ SUBQ IM,137.00 ,
MS INJECTION SUBQ IM,137.00 ,
MS IV INF FLUIDS ONLY 31 TO 60 MIN,419.00 ,
MS IV INFUSION 1 HR W MED MS,419.00 ,
MS IV INFUSION ADD W MEDS,342.00 ,
MS IV INFUSION CONCURRENT,202.00 ,
MS IV INFUSION FLUIDS EA ADD HR,342.00 ,
MS IV INFUSION SEQUENTIAL,202.00 ,
MS IV PUSH EA ADD MED,137.00 ,
MS IV PUSH MED,288.00 ,
MS IV PUSH SEQ SM DRUG,137.00 ,
MS LUMBAR PUNCTURE,804.00 ,
MS MIDLINE PLACEMENT,"1,821.00 ",
MS MSP 1ST HR OBS,633.00 ,
MS MSP ADD EA HR OBS,19.00 ,
MS MSP DIRECT OBS,633.00 ,
MS OBSERVATION COURTESY,247.00 ,
MS OBSERVATION HALF HOUR,27.00 ,
MS PICC LINE INSERT,"1,821.00 ",
MS PNEUMOGRAM,704.00 ,
MS PNEUMONIA VACCINE ADMINISTRATION,101.00 ,
MS RECOVERY ON MED SURG,221.00 ,
MS RECOVERY ON MED/SURG,221.00 ,
MS REPLACEMENT PICC CATH,"1,743.00 ",
MS STRAIGHT CATH,247.00 ,
MS TOILET SENSOR,8.00 ,
MS TREATMENT ROOM LEVEL 2,224.00 ,
MS TREATMENT ROOM LEVEL 5,927.00 ,
MS WOUND VAC <50CM,252.00 ,
MS WOUND VAC >50CM,467.00 ,
ROUTINE ROOM RATE,"1,104.00 ",
TELEMETRY ROOM,"1,408.00 ",
SKILLED EXTENDED CARE,520.00 ,
