The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
40650025,SPECIMEN HANDLING, 31.54 ,
40650034,TISSUE CULTURE-LYMPHOCYTE, 97.50 ,
40650038,CHROMOSOME ANAL CT 15-20, 602.65 ,
40650045,TISSUE CULTURE SKIN/SOLID, 48.81 ,
03610013,CYSTO LOCAL 0.5 HOUR," 6,640.00 ",
03610014,CYSTO LOCAL 1.0 HOUR," 7,040.00 ",
03610015,CYSTO LOCAL 1.5 HOURS," 7,440.00 ",
03610016,CYSTO LOCAL 2.0 HOURS," 7,840.00 ",
03610022,CYSTO LOCAL 2 1/2 HOURS," 8,240.00 ",
03610023,CYSTO LOCAL 3 HOURS," 8,640.00 ",
03610024,CYSTO LOCAL 3 1/2 HOURS," 9,040.00 ",
03610025,CYSTO LOCAL 4 HOURS," 9,440.00 ",
03610026,CYSTO LOCAL 4 1/2 HOURS," 9,840.00 ",
03610027,CYSTO LOCAL 5 HOURS," 10,240.00 ",
03610028,CYSTO LOCAL 5 1/2 HOURS," 10,640.00 ",
03610029,CYSTO LOCAL 6 HOURS," 11,040.00 ",
03610030,CYSTO LOCAL 6 1/2 HOURS," 11,440.00 ",
03610031,CYSTO LOCAL 7 HOURS," 11,840.00 ",
03610017,CYSTO GEN 0.5 HOUR," 8,300.00 ",
03610018,CYSTO GEN 1.0 HOUR," 8,800.00 ",
03610019,CYSTO GEN 1.5 HOURS," 9,300.00 ",
03610020,CYSTO GEN 2.0 HOURS," 9,800.00 ",
03610032,CYSTO GEN 2 1/2 HOURS," 10,300.00 ",
03610033,CYSTO GEN. 3 HOURS," 10,800.00 ",
03610034,CYSTO GEN 3 1/2 HOURS," 11,300.00 ",
03610035,CYSTO GEN 4 HOURS," 11,800.00 ",
03610036,CYSTO GEN 4 1/2 HOURS," 12,300.00 ",
03610037,CYSTO GEN 5 HOURS," 12,800.00 ",
03610038,CYSTO GEN 5 1/2 HOURS," 13,300.00 ",
03610039,CYSTO GEN 6 HOURS," 13,800.00 ",
03610040,CYSTO GEN 6 1/2 HOURS," 14,300.00 ",
03610041,CYSTO GEN. 7 HOURS," 14,800.00 ",
03610021,CYSTOSCOPY RECOVERY ROOM, 793.97 ,
03610093,CONNECTING TUBE, 41.74 ,
03610095,TELFON WIRE GUIDE HVY 145, 54.87 ,
03610099,"BARD GUIDEWIRE 145, FIXED", 18.66 ,
03612000,LITHOTRIPSY LOCAL 0.5 HR," 7,880.00 ",
03612001,LITHOTRIPSY LOCAL 1.0 HR," 8,380.00 ",
03612002,LITHOTRIPSY LOCAL 1.5 HRS," 8,880.00 ",
03612003,LITHOTRIPSY LOCAL 2.0 HRS," 9,380.00 ",
03612004,LITHOTRIPSY LOCAL 2.5 HRS," 9,880.00 ",
03612005,LITHOTRIPSY LOCAL 3.0 HRS," 10,380.00 ",
03612006,LITHOTRIPSY LOCAL 3.5 HRS," 10,880.00 ",
03612007,LITHOTRIPSY LOCAL 4.0 HRS," 11,380.00 ",
